chaves,operações
779,1
37,6
973,6
612,9
495,18
838,9
130,12
580,12
872,18
964,12
900,19
598,21
832,12
567,15
262,19
259,15
525,22
337,15
918,15
374,22
483,22
332,18
212,18
853,12
527,22
609,18
933,22
755,18
465,18
596,18
650,25
243,27
984,15
975,24
855,15
478,27
812,15
336,27
409,25
683,27
300,18
660,27
280,25
131,24
227,15
894,21
389,25
103,18
582,27
659,21
828,27
416,27
342,18
391,21
268,21
868,25
999,21
552,25
974,21
464,21
147,18
624,18
58,27
482,27
598,21
912,21
959,21
409,28
248,18
719,21
444,30
547,21
379,28
723,30
29,21
957,30
968,21
417,24
411,24
550,30
427,33
591,21
965,28
768,28
981,18
585,30
988,21
332,21
136,27
961,24
147,21
635,24
584,24
204,21
116,21
533,30
468,24
427,33
294,21
715,21
497,24
737,21
613,24
227,18
811,24
641,31
183,28
779,24
409,24
946,24
680,21
836,24
536,24
644,31
955,31
868,24
580,24
942,33
199,30
716,30
903,33
345,25
702,24
838,31
549,21
169,30
371,21
368,30
595,21
16,28
434,24
92,21
104,30
46,30
670,24
266,24
38,24
853,24
396,31
798,31
150,28
75,24
985,31
37,21
71,31
940,30
904,33
650,27
881,24
455,24
717,24
135,24
151,28
770,33
973,24
51,24
939,24
695,31
418,27
885,33
62,31
851,31
328,28
165,28
248,28
998,31
430,27
637,27
202,24
178,24
435,27
351,30
252,24
419,36
739,24
674,33
710,27
642,27
676,31
943,24
448,31
392,33
77,24
599,27
514,33
401,24
649,36
804,27
447,27
419,34
688,27
508,31
269,24
368,24
672,36
517,27
717,31
454,27
153,24
918,27
631,21
939,33
620,24
234,21
710,34
358,33
908,27
419,36
351,31
583,34
713,36
151,24
326,24
142,24
749,31
191,24
542,34
749,27
994,31
341,30
167,24
34,27
848,27
788,27
401,27
872,24
304,31
117,21
325,31
808,36
386,33
307,33
747,34
357,24
540,34
808,36
714,36
799,27
226,24
416,33
733,27
291,24
566,27
411,33
432,27
666,27
601,36
325,27
415,24
947,21
665,36
933,27
980,31
513,31
720,30
732,34
384,27
375,27
200,31
60,31
183,27
937,27
366,31
281,31
293,27
257,33
88,33
6,27
408,27
665,34
773,27
140,31
955,33
339,27
550,27
738,30
4,34
503,27
63,27
770,27
449,36
79,27
703,27
780,34
591,36
422,27
511,27
326,27
797,27
62,27
385,36
331,27
998,27
102,27
963,34
290,27
711,30
50,27
647,31
118,24
66,36
419,30
257,33
21,34
757,27
159,27
758,30
113,27
13,27
172,27
882,27
461,36
251,24
584,27
592,30
193,27
358,27
102,36
519,33
154,36
163,36
255,27
836,33
160,34
709,36
798,36
449,30
419,39
199,34
95,30
536,27
264,27
865,24
144,30
284,36
622,34
654,27
394,27
86,34
666,27
917,34
967,34
478,36
519,27
903,30
69,30
712,39
260,27
522,27
230,24
765,37
36,33
836,27
952,30
195,36
544,27
749,30
995,36
962,30
947,30
441,27
849,33
210,30
306,27
345,27
846,31
279,27
998,36
591,36
716,30
16,36
507,34
682,27
845,31
26,36
936,36
914,34
89,30
195,34
787,36
670,27
311,30
823,33
505,30
262,34
369,24
401,36
362,31
364,27
714,39
308,37
156,27
563,36
870,24
813,27
907,30
715,27
443,34
256,36
657,36
158,30
271,36
515,27
192,27
468,34
892,27
479,30
733,30
980,34
26,36
519,30
649,33
336,27
341,34
506,39
950,39
710,39
906,37
311,37
425,36
619,36
971,30
932,34
181,30
840,27
745,30
439,30
906,39
539,30
47,31
562,30
49,33
669,37
76,30
240,24
136,34
968,34
718,27
868,33
299,27
743,37
387,36
948,37
431,36
79,30
453,30
380,27
788,34
710,37
42,33
212,37
328,27
12,27
496,30
861,27
851,27
240,27
651,33
108,36
130,34
697,27
669,37
178,30
366,34
97,39
769,30
853,27
416,30
839,34
721,34
714,36
933,36
107,30
13,36
363,34
185,27
817,34
94,30
325,37
526,27
136,30
888,34
206,39
499,30
383,36
418,37
702,30
974,30
68,37
809,27
104,30
117,30
830,27
281,30
834,34
278,30
50,27
686,30
693,30
888,30
406,27
758,37
172,30
864,36
771,37
535,36
401,34
587,30
980,37
725,30
465,30
467,34
964,27
670,39
966,30
699,39
87,30
19,30
672,39
506,39
827,27
127,30
622,27
8,27
408,36
455,30
285,30
809,30
493,30
977,37
48,27
898,30
87,39
219,31
114,30
857,34
105,33
514,30
443,30
85,33
590,37
259,34
551,30
905,37
928,34
868,36
603,30
366,36
886,37
275,37
224,27
65,30
401,30
845,36
424,30
160,34
652,42
709,30
320,37
496,33
37,30
719,36
393,36
123,37
290,39
506,39
331,30
394,30
371,36
126,33
830,30
960,27
384,30
733,39
865,27
312,37
952,30
467,30
29,30
190,30
93,33
252,30
254,30
846,27
449,39
29,39
357,27
452,39
737,27
29,39
947,30
126,42
747,27
691,37
600,30
36,30
197,30
931,36
782,27
919,30
56,27
611,30
879,27
439,39
695,30
95,33
102,33
647,30
913,39
483,30
836,34
6,37
734,30
441,39
203,30
534,30
469,30
559,39
337,30
558,39
587,37
283,30
683,30
686,30
326,33
634,30
73,37
522,30
564,39
854,27
792,27
619,36
817,30
670,33
410,30
511,39
116,37
863,27
509,33
29,39
345,36
344,30
386,30
431,37
136,37
940,34
964,30
605,39
850,30
653,42
162,36
437,33
935,30
196,37
474,37
260,27
829,37
546,30
133,30
745,30
400,37
277,39
715,37
568,34
946,34
124,40
430,30
414,30
987,33
939,30
794,30
683,39
634,39
179,37
113,33
122,33
118,30
429,33
726,30
967,37
81,40
239,34
755,30
367,27
786,34
228,27
979,33
966,37
126,42
463,30
710,33
877,30
739,30
425,37
444,30
37,37
548,30
873,37
802,30
886,33
163,30
595,39
921,39
149,27
773,33
385,30
270,39
242,30
813,30
347,27
560,30
245,30
585,30
667,33
964,37
722,37
246,39
294,30
687,30
371,30
756,30
397,37
247,37
847,30
821,30
42,27
235,30
720,33
915,30
36,39
958,27
429,40
630,37
878,39
577,30
754,39
262,30
198,37
347,34
427,30
544,30
906,33
23,30
480,37
924,39
986,42
201,33
170,33
279,37
888,33
892,33
387,34
284,33
491,33
585,33
456,30
532,30
819,37
175,33
798,30
854,36
484,40
579,37
835,39
713,39
507,33
588,33
975,30
705,39
286,33
753,39
248,39
191,37
775,33
728,37
467,37
761,30
928,33
988,40
391,30
167,36
231,27
777,42
802,39
721,33
361,27
257,30
605,39
531,37
784,30
754,33
384,39
267,30
332,30
570,37
980,40
839,30
509,40
306,39
543,33
794,39
58,34
142,30
337,37
832,37
869,34
803,33
944,30
149,30
790,39
335,36
667,40
20,37
463,33
469,33
93,42
176,42
725,33
697,30
706,33
860,30
802,33
442,33
127,42
134,40
11,27
458,33
324,30
520,37
763,39
218,27
665,33
172,42
359,30
1,27
355,30
580,39
803,42
651,42
80,40
944,37
337,37
746,30
316,33
799,33
566,33
408,30
326,40
643,36
456,33
384,39
502,33
257,37
825,33
980,42
742,30
187,37
437,42
417,30
58,33
551,30
634,30
723,33
74,37
993,33
723,42
429,40
924,33
878,33
79,33
3,30
821,39
415,33
100,42
136,36
565,40
18,30
895,39
243,37
660,37
350,30
626,39
161,30
959,30
450,33
141,42
52,33
988,42
929,30
469,42
398,39
480,33
102,42
120,30
905,33
446,33
194,33
333,30
369,30
71,39
763,33
723,40
892,42
529,37
175,42
379,39
446,40
192,33
274,33
688,33
851,39
975,33
313,42
363,30
933,33
114,33
503,40
337,37
101,40
784,37
805,30
498,42
263,33
906,42
969,37
519,37
704,33
515,30
852,30
72,33
585,40
966,39
147,42
828,33
495,40
321,33
559,33
940,30
864,30
832,39
627,39
714,30
806,39
291,33
76,33
91,33
404,30
931,33
427,37
504,42
714,33
231,30
354,37
328,30
488,36
674,33
846,30
191,33
188,37
49,33
615,39
125,39
15,30
761,33
304,33
861,37
433,33
862,30
152,30
296,30
693,33
130,33
361,39
851,37
420,33
788,33
293,30
823,37
718,33
719,42
678,30
783,39
301,40
383,30
110,40
140,36
57,40
308,30
683,33
596,39
356,39
297,39
72,36
722,33
409,30
376,33
934,37
841,30
589,42
85,33
488,1
634,6
214,6
200,9
484,9
633,9
987,9
128,12
807,12
57,19
198,21
485,19
191,15
498,12
867,21
301,15
989,15
275,24
960,15
671,15
223,22
667,22
319,18
294,18
389,27
727,24
21,15
674,22
919,18
610,24
759,18
758,25
595,22
324,25
957,27
78,15
309,18
296,27
557,24
115,25
704,18
754,27
599,25
894,25
603,25
466,18
546,18
591,21
92,27
505,27
614,21
314,18
172,25
932,18
960,21
912,21
11,18
980,21
585,28
281,18
941,21
695,27
39,18
535,21
371,25
347,27
964,30
679,21
642,21
872,21
793,18
345,21
625,30
744,25
591,28
227,25
561,21
136,21
170,30
652,30
641,24
783,25
318,25
164,28
66,21
277,21
75,30
428,21
608,24
11,21
709,21
901,30
58,28
747,24
787,24
428,28
445,30
103,24
106,33
87,24
974,30
250,21
783,24
599,24
993,28
725,28
177,24
553,21
861,24
346,28
557,28
853,33
480,21
874,21
16,21
898,28
150,30
442,24
325,28
757,24
804,33
385,24
9,28
861,24
483,24
796,31
640,31
928,21
898,33
745,33
366,24
871,21
347,24
500,24
821,24
691,28
225,21
350,31
244,28
85,33
695,24
152,24
289,21
527,24
25,24
304,21
776,24
174,33
97,31
452,24
282,30
900,24
837,31
643,33
113,24
671,31
438,33
752,27
598,33
687,24
849,31
315,21
909,24
195,24
815,31
730,27
885,24
39,33
79,27
480,24
475,31
125,24
631,27
115,27
3,28
7,24
418,31
778,33
180,33
866,24
230,31
814,33
765,31
418,31
808,33
877,33
88,27
245,31
981,27
38,33
931,31
829,24
352,33
839,27
23,24
166,24
920,24
259,24
556,30
350,31
91,34
382,27
475,28
73,24
848,36
829,27
80,34
265,31
607,33
611,27
482,24
188,31
776,33
599,33
957,27
583,31
827,34
44,27
827,34
807,24
433,24
109,27
635,31
785,27
300,31
9,31
302,31
571,33
620,27
210,27
921,27
710,24
943,36
747,27
782,27
791,27
575,27
213,36
407,31
533,33
824,34
889,31
720,33
599,31
487,24
676,24
182,31
313,27
72,27
360,27
120,27
504,31
821,27
106,24
640,27
120,34
115,36
942,34
690,27
734,36
151,33
610,27
795,27
93,34
708,24
928,34
883,24
283,27
141,27
290,27
815,27
964,24
530,33
887,27
562,27
16,27
914,24
95,36
680,27
337,31
455,31
799,27
841,30
275,31
257,27
480,24
746,36
371,27
421,24
435,33
456,27
923,36
397,31
250,27
368,36
456,36
529,33
602,27
738,30
669,33
243,27
905,27
984,36
772,27
143,34
898,27
139,34
56,34
992,27
819,34
393,27
798,36
969,27
585,27
424,33
