chaves,operações
779,4
37,6
973,9
612,8
495,13
838,8
130,16
580,10
872,15
964,10
900,20
598,10
832,15
567,10
262,23
259,12
525,17
337,12
918,22
374,12
483,17
332,12
212,27
853,12
527,17
609,12
933,22
755,12
465,17
596,12
650,30
243,14
984,19
975,14
855,24
478,14
812,19
336,14
409,29
683,14
300,19
660,14
280,24
131,14
227,19
894,14
389,34
103,14
582,19
659,14
828,24
416,14
342,19
391,14
268,29
868,14
999,19
552,14
974,24
464,14
147,19
624,14
58,37
482,16
598,21
912,16
959,26
409,16
248,21
719,16
444,31
547,16
379,21
723,16
29,26
957,16
968,21
417,16
411,36
550,16
427,21
591,16
965,26
768,16
981,21
585,16
988,31
332,16
136,21
961,16
147,26
635,16
584,21
204,16
116,41
533,16
468,21
427,16
294,26
715,16
497,21
737,16
613,31
227,16
811,21
641,16
183,26
779,16
409,21
946,16
680,36
836,16
536,21
644,16
955,26
868,16
580,21
942,16
199,31
716,16
903,21
345,16
702,26
838,16
549,21
169,16
371,44
368,18
595,23
16,18
434,28
92,18
104,23
46,18
670,33
266,18
38,23
853,18
396,28
798,18
150,23
75,18
985,38
37,18
71,23
940,18
904,28
650,18
881,23
455,18
717,33
135,18
151,23
770,18
973,28
51,18
939,23
695,18
418,43
885,18
62,23
851,18
328,28
165,18
248,23
998,18
430,33
637,18
202,23
178,18
435,28
351,18
252,23
419,18
739,38
674,18
710,23
642,18
676,28
943,18
448,23
392,18
77,33
599,18
514,23
401,18
649,28
804,18
447,23
419,18
688,48
508,18
269,23
368,18
672,28
517,18
717,23
454,18
153,33
918,18
631,23
939,18
620,28
234,18
710,23
358,18
908,38
419,18
351,23
583,18
713,28
151,18
326,23
142,18
749,33
191,18
542,23
749,18
994,28
341,18
167,23
34,18
848,43
788,18
401,23
872,18
304,28
117,18
325,23
808,18
386,33
307,18
747,23
357,18
540,28
808,18
714,23
799,18
226,38
416,18
733,23
291,18
566,28
411,18
432,23
666,18
601,33
325,18
415,23
947,18
665,28
933,18
980,23
513,18
720,51
732,20
384,25
375,20
200,30
60,20
183,25
937,20
366,35
281,20
293,25
257,20
88,30
6,20
408,25
665,20
773,40
140,20
955,25
339,20
550,30
