chaves,operações
779,1
37,2
973,6
612,5
495,7
838,6
130,8
580,10
872,8
964,9
900,9
598,11
832,9
567,10
262,10
259,12
525,10
337,14
918,10
374,12
483,10
332,13
212,11
853,13
527,11
609,15
933,11
755,13
465,11
596,14
650,12
243,14
984,12
975,16
855,12
478,14
812,12
336,18
409,12
683,14
300,12
660,16
280,12
131,14
227,12
894,17
389,13
103,15
582,13
659,17
828,13
416,15
342,13
391,19
268,13
868,15
999,13
552,17
974,13
464,15
147,13
624,18
58,14
482,16
598,14
912,18
959,14
409,16
248,14
719,20
444,14
547,16
379,14
723,18
29,14
957,16
968,14
417,22
411,14
550,16
427,14
591,18
965,14
768,16
981,14
585,20
988,14
332,16
136,14
961,18
147,14
635,16
584,14
204,21
116,15
533,17
468,15
427,19
294,15
715,17
497,15
737,21
613,15
227,17
811,15
641,19
183,15
779,17
409,15
946,23
680,15
836,17
536,15
644,19
955,15
868,17
580,15
942,21
199,15
716,17
903,15
345,19
702,15
838,17
549,15
169,22
371,16
368,18
595,16
16,20
434,16
92,18
104,16
46,22
670,16
266,18
38,16
853,20
396,16
798,18
150,16
75,24
985,16
37,18
71,16
940,20
904,16
650,18
881,16
455,22
717,16
135,18
151,16
770,20
973,16
51,18
939,16
695,26
418,16
885,18
62,16
851,20
328,16
165,18
248,16
998,22
430,16
637,18
202,16
178,20
435,16
351,18
252,16
419,24
739,16
674,18
710,16
642,20
676,16
943,18
448,16
392,22
77,16
599,18
514,16
401,20
649,16
804,18
447,16
419,25
688,17
508,19
269,17
368,21
672,17
517,19
717,17
454,23
153,17
918,19
631,17
939,21
620,17
234,19
710,17
358,25
908,17
419,19
351,17
583,21
713,17
151,19
326,17
142,23
749,17
191,19
542,17
749,21
994,17
341,19
167,17
34,27
848,17
788,19
401,17
872,21
304,17
117,19
325,17
808,23
386,17
307,19
747,17
357,21
540,17
808,19
714,17
799,25
226,17
416,19
733,17
291,21
566,17
411,19
432,17
666,23
601,17
325,19
415,17
947,21
665,17
933,19
980,17
513,26
720,18
732,20
384,18
375,22
200,18
60,20
183,18
937,24
366,18
281,20
293,18
257,22
88,18
6,20
408,18
665,26
773,18
140,20
955,18
339,22
550,18
738,20
4,18
503,24
63,18
770,20
449,18
79,22
703,18
780,20
591,18
422,28
511,18
326,20
797,18
62,22
385,18
331,20
998,18
102,24
963,18
290,20
711,18
50,22
647,18
118,20
66,18
419,26
257,18
21,20
757,18
159,22
758,18
113,20
13,18
172,24
882,18
461,20
251,18
584,22
592,18
193,20
358,18
102,30
519,18
154,20
163,18
255,22
836,18
160,20
709,18
798,24
449,18
419,20
199,18
95,22
536,18
264,20
865,18
144,26
284,18
622,20
654,18
394,22
86,18
666,20
917,18
967,24
478,18
519,20
903,18
69,22
712,18
260,20
522,18
230,28
765,18
36,20
836,18
952,22
195,18
544,20
749,18
995,24
962,18
947,20
441,18
849,22
210,18
306,20
345,18
846,26
279,18
998,20
591,18
716,22
16,18
507,20
682,18
845,24
26,18
936,20
914,18
89,22
195,18
787,20
670,18
311,29
823,19
505,21
262,19
369,23
401,19
362,21
364,19
714,25
308,19
156,21
563,19
870,23
813,19
907,21
715,19
443,27
256,19
657,21
158,19
271,23
515,19
192,21
468,19
892,25
479,19
733,21
980,19
26,23
519,19
649,21
336,19
341,29
506,19
950,21
710,19
906,23
311,19
425,21
619,19
971,25
932,19
181,21
840,19
745,23
439,19
906,21
539,19
47,27
562,19
49,21
669,19
76,23
240,19
136,21
968,19
718,25
868,19
299,21
743,19
387,23
948,19
431,21
79,19
453,31
380,19
788,21
710,19
42,23
212,19
328,21
12,19
496,25
861,19
851,21
240,19
651,23
108,19
130,21
697,19
669,27
178,19
366,21
97,19
769,23
853,19
416,21
839,19
721,25
714,19
933,21
107,19
13,23
363,19
185,21
817,19
94,29
325,19
526,21
136,19
888,23
206,19
499,21
383,19
418,25
702,19
974,21
68,19
809,23
104,19
117,21
830,19
281,27
834,19
278,21
50,19
686,23
693,19
888,21
406,19
758,25
172,19
864,21
771,19
535,23
401,19
587,21
980,19
725,30
465,20
467,22
964,20
670,24
966,20
699,22
87,20
19,26
672,20
506,22
827,20
127,24
622,20
8,22
408,20
455,28
285,20
809,22
493,20
977,24
48,20
898,22
87,20
219,26
114,20
857,22
105,20
514,24
443,20
85,22
590,20
259,30
551,20
905,22
928,20
868,24
603,20
366,22
886,20
275,26
224,20
65,22
401,20
845,24
424,20
160,22
652,20
709,28
320,20
496,22
37,20
719,24
393,20
123,22
290,20
506,26
331,20
394,22
371,20
126,24
830,20
960,22
384,20
733,32
865,20
312,22
952,20
467,24
29,20
190,22
93,20
252,26
254,20
846,22
449,20
29,24
357,20
452,22
737,20
29,28
947,20
126,22
747,20
691,24
600,20
36,22
197,20
931,26
782,20
919,22
56,20
611,24
879,20
439,22
695,20
95,30
102,20
647,22
913,20
483,24
836,20
6,22
734,20
441,26
203,20
534,22
469,20
559,24
337,20
558,22
587,20
283,28
683,20
686,22
326,20
634,24
73,20
522,22
564,20
854,26
792,20
619,22
817,20
670,24
410,20
511,22
116,20
863,34
509,20
29,22
345,20
344,24
386,20
431,22
136,20
940,26
964,20
605,22
850,20
653,24
162,20
437,22
935,20
196,28
474,20
260,22
829,20
546,24
133,20
745,22
400,20
277,26
715,20
568,22
946,20
124,24
430,20
414,22
987,20
