chaves,operações
0,1
2,6
4,13
6,9
8,16
10,16
12,16
14,12
16,19
18,19
20,19
22,19
24,19
26,19
28,19
30,15
32,22
34,22
36,22
38,22
40,22
42,22
44,22
46,22
48,22
50,22
52,22
54,22
56,22
58,22
60,22
62,18
64,25
66,25
68,25
70,25
72,25
74,25
76,25
78,25
80,25
82,25
84,25
86,25
88,25
90,25
92,25
94,25
96,25
98,25
100,25
102,25
104,25
106,25
108,25
110,25
112,25
114,25
116,25
118,25
120,25
122,25
124,25
126,21
128,28
130,28
132,28
134,28
136,28
138,28
140,28
142,28
144,28
146,28
148,28
150,28
152,28
154,28
156,28
158,28
160,28
162,28
164,28
166,28
168,28
170,28
172,28
174,28
176,28
178,28
180,28
182,28
184,28
186,28
188,28
190,28
192,28
194,28
196,28
198,28
200,28
202,28
204,28
206,28
208,28
210,28
212,28
214,28
216,28
218,28
220,28
222,28
224,28
226,28
228,28
230,28
232,28
234,28
236,28
238,28
240,28
242,28
244,28
246,28
248,28
250,28
252,28
254,24
256,31
258,31
260,31
262,31
264,31
266,31
268,31
270,31
272,31
274,31
276,31
278,31
280,31
282,31
284,31
286,31
288,31
290,31
292,31
294,31
296,31
298,31
300,31
302,31
304,31
306,31
308,31
310,31
312,31
314,31
316,31
318,31
320,31
322,31
324,31
326,31
328,31
330,31
332,31
334,31
336,31
338,31
340,31
342,31
344,31
346,31
348,31
350,31
352,31
354,31
356,31
358,31
360,31
362,31
364,31
366,31
368,31
370,31
372,31
374,31
376,31
378,31
380,31
382,31
384,31
386,31
388,31
390,31
392,31
394,31
396,31
398,31
400,31
402,31
404,31
406,31
408,31
410,31
412,31
414,31
416,31
418,31
420,31
422,31
424,31
426,31
428,31
430,31
432,31
434,31
436,31
438,31
440,31
442,31
444,31
446,31
448,31
450,31
452,31
454,31
456,31
458,31
460,31
462,31
464,31
466,31
468,31
470,31
472,31
474,31
476,31
478,31
480,31
482,31
484,31
486,31
488,31
490,31
492,31
494,31
496,31
498,31
500,31
502,31
504,31
506,31
508,31
510,27
512,34
514,34
516,34
518,34
520,34
522,34
524,34
526,34
528,34
530,34
532,34
534,34
536,34
538,34
540,34
542,34
544,34
546,34
548,34
550,34
552,34
554,34
556,34
558,34
560,34
562,34
564,34
566,34
568,34
570,34
572,34
574,34
576,34
578,34
580,34
582,34
584,34
586,34
588,34
590,34
592,34
594,34
596,34
598,34
600,34
602,34
604,34
606,34
608,34
610,34
612,34
614,34
616,34
618,34
620,34
622,34
624,34
626,34
628,34
630,34
632,34
634,34
636,34
638,34
640,34
642,34
644,34
646,34
648,34
650,34
652,34
654,34
656,34
658,34
660,34
662,34
664,34
666,34
668,34
670,34
672,34
674,34
676,34
678,34
680,34
682,34
684,34
686,34
688,34
690,34
692,34
694,34
696,34
698,34
700,34
702,34
704,34
706,34
708,34
710,34
712,34
714,34
716,34
718,34
720,34
722,34
724,34
726,34
728,34
730,34
732,34
734,34
736,34
738,34
740,34
742,34
744,34
746,34
748,34
750,34
752,34
754,34
756,34
758,34
760,34
762,34
764,34
766,34
768,34
770,34
772,34
774,34
776,34
778,34
780,34
782,34
784,34
786,34
788,34
790,34
792,34
794,34
796,34
798,34
800,34
802,34
804,34
806,34
808,34
810,34
812,34
814,34
816,34
818,34
820,34
822,34
824,34
826,34
828,34
830,34
832,34
834,34
836,34
838,34
840,34
842,34
844,34
846,34
848,34
850,34
852,34
854,34
856,34
858,34
860,34
862,34
864,34
866,34
868,34
870,34
872,34
874,34
876,34
878,34
880,34
882,34
884,34
886,34
888,34
890,34
892,34
894,34
896,34
898,34
900,34
902,34
904,34
906,34
908,34
910,34
912,34
914,34
916,34
918,34
920,34
922,34
924,34
926,34
928,34
930,34
932,34
934,34
936,34
938,34
940,34
942,34
944,34
946,34
948,34
950,34
952,34
954,34
956,34
958,34
960,34
962,34
964,34
966,34
968,34
970,34
972,34
974,34
976,34
978,34
980,34
982,34
984,34
986,34
988,34
990,34
992,34
994,34
996,34
998,34
