chaves,operações
0,4
2,6
4,8
6,8
8,10
10,10
12,10
14,10
16,12
18,12
20,12
22,12
24,12
26,12
28,12
30,12
32,14
34,14
36,14
38,14
40,17
42,14
44,14
46,14
48,14
50,14
52,14
54,16
56,16
58,16
60,16
62,21
64,15
66,15
68,15
70,15
72,15
74,15
76,17
78,17
80,17
82,17
84,23
86,15
88,15
90,15
92,15
94,15
96,15
98,17
100,17
102,17
104,17
106,23
108,16
110,16
112,16
114,16
116,16
118,16
120,18
122,18
124,18
126,18
128,25
130,16
132,16
134,16
136,16
138,16
140,16
142,18
144,18
146,18
148,18
150,25
152,16
154,16
156,16
158,16
160,16
162,16
164,18
166,18
168,18
170,18
172,25
174,16
176,16
178,16
180,16
182,16
184,16
186,18
188,18
190,18
192,18
194,25
196,17
198,17
200,17
202,17
204,17
206,17
208,19
210,19
212,19
214,19
216,27
218,17
220,17
222,17
224,17
226,17
228,17
230,19
232,19
234,19
236,19
238,27
240,17
242,17
244,17
246,17
248,17
250,17
252,19
254,19
256,19
258,19
260,27
262,17
264,17
266,17
268,17
270,17
272,17
274,19
276,19
278,19
280,19
282,27
284,17
286,17
288,17
290,17
292,17
294,17
296,19
298,19
300,19
302,19
304,27
306,17
308,17
310,17
312,17
314,17
316,17
318,19
320,19
322,19
324,19
326,27
328,17
330,17
332,17
334,17
336,17
338,17
340,19
342,19
344,19
346,19
348,27
350,17
352,17
354,17
356,17
358,17
360,17
362,19
364,19
366,19
368,19
370,27
372,18
374,18
376,18
378,18
380,18
382,18
384,20
386,20
388,20
390,20
392,29
394,18
396,18
398,18
400,18
402,18
404,18
406,20
408,20
410,20
412,20
414,29
416,18
418,18
420,18
422,18
424,18
426,18
428,20
430,20
432,20
434,20
436,29
438,18
440,18
442,18
444,18
446,18
448,18
450,20
452,20
454,20
456,20
458,29
460,18
462,18
464,18
466,18
468,18
470,18
472,20
474,20
476,20
478,20
480,32
482,19
484,19
486,19
488,19
490,19
492,19
494,21
496,21
498,21
500,21
502,29
504,19
506,19
508,19
510,19
512,19
514,19
516,21
518,21
520,21
522,21
524,29
526,19
528,19
530,19
532,19
534,19
536,19
538,21
540,21
542,21
544,21
546,29
548,19
550,19
552,19
554,19
556,19
558,19
560,21
562,21
564,21
566,21
568,29
570,19
572,19
574,19
576,19
578,19
580,19
582,21
584,21
586,21
588,21
590,29
592,19
594,19
596,19
598,19
600,19
602,19
604,21
606,21
608,21
610,21
612,29
614,20
616,20
618,20
620,20
622,20
624,20
626,22
628,22
630,22
632,22
634,31
636,20
638,20
640,20
642,20
644,20
646,20
648,22
650,22
652,22
654,22
656,31
658,20
660,20
662,20
664,20
666,20
668,20
670,22
672,22
674,22
676,22
678,31
680,20
682,20
684,20
686,20
688,20
690,20
692,22
694,22
696,22
698,22
700,31
702,20
704,20
706,20
708,20
710,20
712,20
714,22
716,22
718,22
720,22
722,36
724,20
726,20
728,20
730,20
732,20
734,20
736,22
738,22
740,22
742,22
744,30
746,20
748,20
750,20
752,20
754,20
756,20
758,22
760,22
762,22
764,22
766,30
768,20
770,20
772,20
774,20
776,20
778,20
780,22
782,22
784,22
786,22
788,30
790,20
792,20
794,20
796,20
798,20
800,20
802,22
804,22
806,22
808,22
810,30
812,20
814,20
816,20
818,20
820,20
822,20
824,22
826,22
828,22
830,22
832,30
834,20
836,20
838,20
840,20
842,20
844,20
846,22
848,22
850,22
852,22
854,30
856,21
858,21
860,21
862,21
864,21
866,21
868,23
870,23
872,23
874,23
876,32
878,21
880,21
882,21
884,21
886,21
888,21
890,23
892,23
894,23
896,23
898,32
900,21
902,21
904,21
906,21
908,21
910,21
912,23
914,23
916,23
918,23
920,32
922,21
924,21
926,21
928,21
930,21
932,21
934,23
936,23
938,23
940,23
942,32
944,21
946,21
948,21
950,21
952,21
954,21
956,23
958,23
960,23
962,23
964,38
966,20
968,20
970,20
972,20
974,20
976,20
978,22
980,22
982,22
984,22
986,30
988,20
990,20
992,20
994,20
996,20
998,20
