chaves,operações
0,1
2,2
4,6
6,5
8,7
10,6
12,8
14,10
16,8
18,9
20,9
22,11
24,9
26,10
28,10
30,12
32,10
34,14
36,10
38,12
40,10
42,13
44,11
46,13
48,11
50,15
52,11
54,13
56,11
58,14
60,12
62,14
64,12
66,16
68,12
70,14
72,12
74,18
76,12
78,14
80,12
82,16
84,12
86,14
88,12
90,17
92,13
94,15
96,13
98,17
100,13
102,15
104,13
106,19
108,13
110,15
112,13
114,17
116,13
118,15
120,13
122,18
124,14
126,16
128,14
130,18
132,14
134,16
136,14
138,20
140,14
142,16
144,14
146,18
148,14
150,16
152,14
154,22
156,14
158,16
160,14
162,18
164,14
166,16
168,14
170,20
172,14
174,16
176,14
178,18
180,14
182,16
184,14
186,21
188,15
190,17
192,15
194,19
196,15
198,17
200,15
202,21
204,15
206,17
208,15
210,19
212,15
214,17
216,15
218,23
220,15
222,17
224,15
226,19
228,15
230,17
232,15
234,21
236,15
238,17
240,15
242,19
244,15
246,17
248,15
250,22
252,16
254,18
256,16
258,20
260,16
262,18
264,16
266,22
268,16
270,18
272,16
274,20
276,16
278,18
280,16
282,24
284,16
286,18
288,16
290,20
292,16
294,18
296,16
298,22
300,16
302,18
304,16
306,20
308,16
310,18
312,16
314,26
316,16
318,18
320,16
322,20
324,16
326,18
328,16
330,22
332,16
334,18
336,16
338,20
340,16
342,18
344,16
346,24
348,16
350,18
352,16
354,20
356,16
358,18
360,16
362,22
364,16
366,18
368,16
370,20
372,16
374,18
376,16
378,25
380,17
382,19
384,17
386,21
388,17
390,19
392,17
394,23
396,17
398,19
400,17
402,21
404,17
406,19
408,17
410,25
412,17
414,19
416,17
418,21
420,17
422,19
424,17
426,23
428,17
430,19
432,17
434,21
436,17
438,19
440,17
442,27
444,17
446,19
448,17
450,21
452,17
454,19
456,17
458,23
460,17
462,19
464,17
466,21
468,17
470,19
472,17
474,25
476,17
478,19
480,17
482,21
484,17
486,19
488,17
490,23
492,17
494,19
496,17
498,21
500,17
502,19
504,17
506,26
508,18
510,20
512,18
514,22
516,18
518,20
520,18
522,24
524,18
526,20
528,18
530,22
532,18
534,20
536,18
538,26
540,18
542,20
544,18
546,22
548,18
550,20
552,18
554,24
556,18
558,20
560,18
562,22
564,18
566,20
568,18
570,28
572,18
574,20
576,18
578,22
580,18
582,20
584,18
586,24
588,18
590,20
592,18
594,22
596,18
598,20
600,18
602,26
604,18
606,20
608,18
610,22
612,18
614,20
616,18
618,24
620,18
622,20
624,18
626,22
628,18
630,20
632,18
634,30
636,18
638,20
640,18
642,22
644,18
646,20
648,18
650,24
652,18
654,20
656,18
658,22
660,18
662,20
664,18
666,26
668,18
670,20
672,18
674,22
676,18
678,20
680,18
682,24
684,18
686,20
688,18
690,22
692,18
694,20
696,18
698,28
700,18
702,20
704,18
706,22
708,18
710,20
712,18
714,24
716,18
718,20
720,18
722,22
724,18
726,20
728,18
730,26
732,18
734,20
736,18
738,22
740,18
742,20
744,18
746,24
748,18
750,20
752,18
754,22
756,18
758,20
760,18
762,29
764,19
766,21
768,19
770,23
772,19
774,21
776,19
778,25
780,19
782,21
784,19
786,23
788,19
790,21
792,19
794,27
796,19
798,21
800,19
802,23
804,19
806,21
808,19
810,25
812,19
814,21
816,19
818,23
820,19
822,21
824,19
826,29
828,19
830,21
832,19
834,23
836,19
838,21
840,19
842,25
844,19
846,21
848,19
850,23
852,19
854,21
856,19
858,27
860,19
862,21
864,19
866,23
868,19
870,21
872,19
874,25
876,19
878,21
880,19
882,23
884,19
886,21
888,19
890,31
892,19
894,21
896,19
898,23
900,19
902,21
904,19
906,25
908,19
910,21
912,19
914,23
916,19
918,21
920,19
922,27
924,19
926,21
928,19
930,23
932,19
934,21
936,19
938,25
940,19
942,21
944,19
946,23
948,19
950,21
952,19
954,29
956,19
958,21
960,19
962,23
964,19
966,21
968,19
970,25
972,19
974,21
976,19
978,23
980,19
982,21
984,19
986,27
988,19
990,21
992,19
994,23
996,19
998,21
